Modelo,Clasificación
Kia Canarias NIRO 1.6GDI-PHEV 104kW(141cv) 2wd 6DCT VISION {MY21},Clasificación: A
Kia Canarias Picanto 1.0TGDI 74kW(100cv) 2wd 5MT GT-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.0TGDI 74kW(100cv) 2wd 5MT X-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5AMT ACTIVE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5AMT GT-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5AMT X-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5MT ACTIVE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5MT FLEX {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5MT GT-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.2DPI 63kW(85cv) 2wd 5MT X-LINE {MY21},Clasificación: E
Kia Canarias Picanto 1.2MPI 63kW(85cv) 2wd 5MT ACTIVE {MY20},Clasificación: F
Kia Canarias Proceed 1.4TGDI 103kW(140cv) 2wd 7DCT GT-LINE (+Asist.aparc.inteligente) {MY20},Clasificación: C
Kia Canarias Proceed 1.4TGDI 103kW(140cv) 2wd 7DCT GT-LINE {MY19},Clasificación: C
Kia Canarias Proceed 1.4TGDI 103kW(140cv) 2wd 7DCT GT-LINE {MY20},Clasificación: C
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 5MT GT-LINE SPORT {MY20},Clasificación: D
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 6MT ACTIVE {MY21},Clasificación: C
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE (+pack LEDs) {MY21},Clasificación: C
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE {MY21},Clasificación: C
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 7DCT ACTIVE {MY21},Clasificación: C
Kia Canarias Rio 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE {MY21},Clasificación: D
Kia Canarias Rio 1.0TGDI-MHEV 74kW(100cv) 2wd 6MT ECO {MY21},Clasificación: C
Kia Canarias Rio 1.0TGDI-MHEV 88kW(120cv) 2wd 6MT GT-LINE {MY21},Clasificación: C
Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT ACTIVE {MY21},Clasificación: D
Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT FLEX {MY21},Clasificación: C
Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT FLEX connect {MY21},Clasificación: C
Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT GT-LINE (+pack LEDs) {MY21},Clasificación: D
Kia Canarias Rio 1.2DPI 63kW(85cv) 2wd 5MT GT-LINE {MY21},Clasificación: D
Kia Canarias Rio 1.2MPI 63kW(85cv) 2wd 5MT ACTIVE {MY20},Clasificación: D
Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT ACTIVE {MY20},Clasificación: D
Kia Canarias Rio 1.4MPI 74kW(100cv) 2wd 6MT GT-LINE SPORT {MY20},Clasificación: D
Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT KLASS {MY21},Clasificación: B
Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 2wd 6AT SPIRIT {MY21},Clasificación: B
Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT KLASS {MY21},Clasificación: C
Kia Canarias Sorento 1.6TGDI-HEV 169kW(230cv) 4wd 6AT SPIRIT {MY21},Clasificación: C
Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT KLASS {MY21},Clasificación: A
Kia Canarias Sorento 1.6TGDI-PHEV 195kW(265cv) 4wd 6AT SPIRIT {MY21},Clasificación: A
Kia Canarias Sorento 2.2CRDI 148kW(202cv) 2wd 8DCT SPIRIT {MY21},Clasificación: E
Kia Canarias Sportage 1.6CRDI 100kW(136cv) 2wd 6MT OPEN SPIRIT {MY20},Clasificación: E
Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT ACTIVE {MY20},Clasificación: D
Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT ACTIVE {MY21},Clasificación: D
Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT OPEN SPIRIT {MY20},Clasificación: D
Kia Canarias Sportage 1.6CRDI-MHEV 100kW(136cv) 2wd 6MT SPIRIT {MY21},Clasificación: D
Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT ACTIVE {MY21},Clasificación: D
Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT ACTIVE(+barras techo) {MY21},Clasificación: D
Kia Canarias Sportage 1.6GDI 97kW(132cv) 2wd 6MT FLEX {MY20},Clasificación: D
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT ACTIVE {MY20},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT ACTIVE {MY21},Clasificación: D
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT BLACK EDITION {MY21},Clasificación: D
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT (+techo solar panorámico) {MY20},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT (+techo solar panorámico) {MY21},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT GT-LINE SPORT {MY20},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT OPEN SPIRIT {MY20},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 6MT OPEN SPIRIT {MY21},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE PREMIUM {MY21},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE SPORT (+techo solar panorámico) {MY20},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT GT-LINE SPORT (+techo solar panorámico) {MY21},Clasificación: E
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 2wd 7DCT OPEN SPIRIT {MY20},Clasificación: D
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 4wd 7DCT GT-LINE PREMIUM {MY20},Clasificación: F
Kia Canarias Sportage 1.6TGDI 130kW(177cv) 4wd 7DCT GT-LINE PREMIUM {MY21},Clasificación: E
Kia Canarias Sportage 1.6TGDI PHEV MY23,Clasificación: A
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT ACTIVE {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE (+pack LEDs) {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE (+pack LEDs) bitono {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 6MT GT-LINE bitono {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT ACTIVE {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE (+pack LEDs) {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 74kW(100cv) 2wd 7DCT GT-LINE bitono {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20},Clasificación: D
Kia Canarias Stonic 1.0TGDI-MHEV 74kW(100cv) 2wd 6MT ECO {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI-MHEV 88kW(120cv) 2wd 6MT GT-LINE {MY21},Clasificación: C
Kia Canarias Stonic 1.0TGDI-MHEV 88kW(120cv) 2wd 6MT GT-LINE bitono {MY21},Clasificación: C
Kia Canarias Stonic 1.2DPI 63kW(85cv) 2wd 5MT ACTIVE {MY21},Clasificación: C
Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6AT ACTIVE {MY20},Clasificación: E
Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6MT ACTIVE {MY20},Clasificación: D
Kia Canarias Stonic 1.4MPI 74kW(100cv) 2wd 6MT SPIRIT PLUS {MY20},Clasificación: D
Kia Canarias Stonic 1.6CRDI 85kW(115cv) 2wd 6MT SPIRIT PLUS {MY20},Clasificación: D
Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT ACTIVE {MY20},Clasificación: C
Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20},Clasificación: C
Kia Canarias Xceed 1.0TGDI 88kW(120cv) 2wd 6MT SPIRIT PLUS {MY20} (+opcional EPB),Clasificación: C
Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 6MT SPIRIT PLUS {MY20},Clasificación: C
Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 6MT SPIRIT PLUS {MY20} (+opcional EPB),Clasificación: C
Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 7DCT SPIRIT PLUS {MY20} (+opcional EPB),Clasificación: D
Kia Canarias Xceed 1.4TGDI 103kW(140cv) 2wd 7DCT VISION {MY20},Clasificación: D
Kia Canarias Xceed 1.5TGDI 117kW(160cv) 2wd 6MT SPIRIT PLUS {MY21},Clasificación: C
Kia Canarias Xceed 1.6GDI-PHEV 104kW(141cv) 2wd 6DCT SPIRIT PLUS {MY21},Clasificación: A
Kia Canarias Xceed 1.6GDI-PHEV 104kW(141cv) 2wd 6DCT VISION {MY21},Clasificación: A
Kia Canarias Xceed 1.6TGDI 150kW(204cv) 2wd 7DCT VISION {MY20},Clasificación: D
Kia CEED (MY22) 1.0 MHEV Drive DCT 120 cv,Clasificación: B
Kia CEED (MY22) 1.0 MHEV Tech DCT 120 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Concept 100 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Concept 120 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Drive 100 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Drive 120 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Tech 100 cv,Clasificación: B
Kia CEED (MY22) 1.0 T-GDI Tech 120 cv,Clasificación: B
Kia CEED (MY22) 1.5 MHEV GT-LINE DCT,Clasificación: B
Kia CEED (MY22) 1.5 MHEV GT-LINE DCT (Pack Premium),Clasificación: B
Kia CEED (MY22) 1.5 MHEV Tech DCT,Clasificación: B
Kia CEED (MY22) 1.6 MHEV GT-LINE DCT 136 cv,Clasificación: C
Kia CEED (MY22) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium),Clasificación: C
Kia CEED (MY22) 1.6 MHEV IMT Concept 136 cv,Clasificación: C
Kia CEED (MY22) 1.6 MHEV IMT Drive 136 cv,Clasificación: C
Kia CEED (MY22) 1.6 MHEV IMT GT-LINE 136 cv,Clasificación: B
Kia CEED (MY22) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium),Clasificación: B
Kia CEED (MY22) 1.6 MHEV IMT Tech 136 cv,Clasificación: C
Kia CEED (MY22) 1.6 MHEV Tech DCT 136 cv,Clasificación: C
Kia CEED (MY22) 1.6 T-GDI GT DCT,Clasificación: D
Kia CEED (MY22) 1.6 T-GDI GT DCT (Pack Premium GT),Clasificación: D
Kia CEED (MY23) 1.0 MHEV Drive DCT 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 MHEV Stile Edition DCT 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 MHEV Tech DCT 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Concept 100 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Concept 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Drive 100 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Drive 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Stile Edition 120 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Style Edition 100 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Tech 100 cv,Clasificación: B
Kia CEED (MY23) 1.0 T-GDI Tech 120 cv,Clasificación: B
Kia CEED (MY23) 1.5 MHEV GT-LINE DCT,Clasificación: B
Kia CEED (MY23) 1.5 MHEV GT-LINE DCT (Pack Premium),Clasificación: B
Kia CEED (MY23) 1.5 MHEV Stile Edition DCT,Clasificación: B
Kia CEED (MY23) 1.5 MHEV Tech DCT,Clasificación: B
Kia CEED (MY23) 1.6 MHEV GT-LINE DCT 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium),Clasificación: C
Kia CEED (MY23) 1.6 MHEV IMT Concept 136 cv,Clasificación: B
Kia CEED (MY23) 1.6 MHEV IMT Drive 136 cv,Clasificación: B
Kia CEED (MY23) 1.6 MHEV IMT GT-LINE 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium),Clasificación: C
Kia CEED (MY23) 1.6 MHEV IMT Stile Edition 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 MHEV IMT Tech 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 MHEV Stile Edition DCT 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 MHEV Tech DCT 136 cv,Clasificación: C
Kia CEED (MY23) 1.6 T-GDI GT DCT,Clasificación: D
Kia CEED (MY23) 1.6 T-GDI GT DCT (Pack Premium GT),Clasificación: D
Kia CEED 1.0 T-GDi 100CV Concept Eco-Dynamics,Clasificación: C
Kia CEED 1.0 T-GDi 100CV Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.0 T-GDi 100CV Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.0 T-GDi 120CV Concept Eco-Dynamics,Clasificación: B
Kia CEED 1.0 T-GDi 120CV Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.0 T-GDi 120CV GT Line Eco-Dynamics,Clasificación: B
Kia CEED 1.0 T-GDi 120CV Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.0 T-GDi Business 120CV - Navegador Eco-Dynamics,Clasificación: B
Kia CEED 1.4 T-GDi 140CV Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.4 T-GDi 140CV GT Line DCT Eco-Dynamics,Clasificación: C
Kia CEED 1.4 T-GDi 140CV GT Line Eco-Dynamics,Clasificación: C
Kia CEED 1.4 T-GDi 140CV Tech DCT Eco-Dynamics,Clasificación: C
Kia CEED 1.4 T-GDi 140CV Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 115CV Concept Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 115CV Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 115CV Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 136CV Concept Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 136CV Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 136CV GT Line DCT Eco-Dynamics,Clasificación: D
Kia CEED 1.6 CRDi 136CV GT Line Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi 136CV Tech DCT Eco-Dynamics,Clasificación: D
Kia CEED 1.6 CRDi 136CV Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.6 CRDi Business 115CV - Navegador Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV Emotion DCT Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV iMT Concept Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV iMT Drive Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV iMT Emotion Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV iMT Tech Eco-Dynamics,Clasificación: C
Kia CEED 1.6 MHEV 136CV Tech DCT Eco-Dynamics,Clasificación: C
Kia CEED 1.6 T-GDi 204CV GT DCT Eco-Dynamics,Clasificación: D
Kia CEED 1.6 T-GDi 204CV GT Eco-Dynamics,Clasificación: E
Kia CEED 5p 1.0 100CV Concept Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 100CV Drive Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 100CV GT-Line Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 100CV Tech Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 120CV Concept Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 120CV Drive Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 120CV GT-Line Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 120CV Tech Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV Concept DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV Drive DCT Eco-Dynamics,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV Drive DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV GT Line DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV Tech DCT Eco-Dynamics,Clasificación: B
Kia CEED 5p 1.0 MHEV 120CV Tech DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics,Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics (Pack Premium),Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+ (Pack Premium),Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV Tech DCT Eco-Dynamics,Clasificación: B
Kia CEED 5p 1.5 MHEV 160CV Tech DCT Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.6 204CV GT,Clasificación: D
Kia CEED 5p 1.6 CRDI MHEV 136CV Business Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 CRDI MHEV 136CV Concept Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 CRDI MHEV 136CV DCT GT-Line Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 CRDI MHEV 136CV DCT Tech Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 CRDI MHEV 136CV Drive Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 CRDI MHEV 136CV GT-Line Eco-Dynamics+,Clasificación: B
Kia CEED 5p 1.6 CRDI MHEV 136CV Tech Eco-Dynamics+,Clasificación: C
Kia CEED 5p 1.6 MHEV 136CV GT Line DCT Eco-Dynamics,Clasificación: C
Kia CEED 5p 1.6 MHEV 136CV GT Line DCT Eco-Dynamics (Pack Premium),Clasificación: C
Kia CEED 5p 1.6 MHEV 136CV iMT GT Line Eco-Dynamics,Clasificación: C
Kia CEED 5p 1.6 MHEV 136CV iMT GT Line Eco-Dynamics (Pack Premium),Clasificación: C
Kia CEED TOURER (MY22) 1.0 MHEV Drive DCT 120 cv,Clasificación: A
Kia CEED TOURER (MY22) 1.0 MHEV Tech DCT 120 cv,Clasificación: A
Kia CEED TOURER (MY22) 1.0 T-GDI Concept 120 cv,Clasificación: A
Kia CEED TOURER (MY22) 1.0 T-GDI Drive 120 cv,Clasificación: A
Kia CEED TOURER (MY22) 1.0 T-GDI Tech 120 cv,Clasificación: B
Kia CEED TOURER (MY22) 1.5 MHEV GT-LINE DCT,Clasificación: B
Kia CEED TOURER (MY22) 1.5 MHEV GT-LINE DCT (Pack Premium),Clasificación: B
Kia CEED TOURER (MY22) 1.5 MHEV Tech DCT,Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV GT-LINE DCT 136 cv,Clasificación: C
Kia CEED TOURER (MY22) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium),Clasificación: C
Kia CEED TOURER (MY22) 1.6 MHEV IMT Concept 136 cv,Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV IMT Drive 136 cv,Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV IMT GT-LINE 136 cv,Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium),Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV IMT Tech 136 cv,Clasificación: B
Kia CEED TOURER (MY22) 1.6 MHEV Tech DCT 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.0 MHEV Drive DCT 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 MHEV Stile Edition DCT 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 MHEV Tech DCT 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 T-GDI Concept 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 T-GDI Drive 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 T-GDI Style Edition 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.0 T-GDI Tech 120 cv,Clasificación: A
Kia CEED TOURER (MY23) 1.5 MHEV GT-LINE DCT,Clasificación: B
Kia CEED TOURER (MY23) 1.5 MHEV GT-LINE DCT (Pack Premium),Clasificación: B
Kia CEED TOURER (MY23) 1.5 MHEV Stile Edition DCT,Clasificación: B
Kia CEED TOURER (MY23) 1.5 MHEV Tech DCT,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV GT-LINE DCT 136 cv (Pack Premium),Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT Concept 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT Drive 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT GT-LINE 136 cv (Pack Premium),Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT Stile Edition 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV IMT Tech 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV Tech DCT 136 cv,Clasificación: B
Kia CEED TOURER (MY23) 1.6 MHEV Tech Stile Edition 136 cv,Clasificación: B
Kia CEED TOURER 1.0 MHEV 120CV Drive DCT Eco-Dynamics,Clasificación: A
Kia CEED TOURER 1.0 T-GDi Concept 100CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.0 T-GDi Concept 120CV Eco-Dynamics,Clasificación: A
Kia CEED TOURER 1.0 T-GDi Drive 120CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.0 T-GDi GT Line 120CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.0 T-GDi Tech 120CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.4 T-GDi Concept 140CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.4 T-GDi Drive 140CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.4 T-GDi GT Line 140CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.4 T-GDi GT Line DCT 140CV Eco-Dynamics (Pack Premium),Clasificación: B
Kia CEED TOURER 1.4 T-GDi Tech 140CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.4 T-GDi Tech DCT 140CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.5 MHEV 160CV GT Line DCT (Pack Premium) Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.5 MHEV 160CV GT Line DCT Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.5 MHEV 160CV Tech DCT Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi Business 115CV - Navegador Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi Business 115CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi Concept 115CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi Drive 115CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi GT Line 115CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi GT Line 136CV Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 CRDi GT Line DCT 136CV Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 CRDi Tech 115CV Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 CRDi Tech 136CV Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 CRDi Tech DCT 136CV Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 MHEV 136CV Emotion DCT Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 MHEV 136CV iMT Concept Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 MHEV 136CV iMT Drive Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 MHEV 136CV iMT Emotion Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 MHEV 136CV iMT Tech Eco-Dynamics,Clasificación: B
Kia CEED TOURER 1.6 MHEV 136CV Tech DCT Eco-Dynamics,Clasificación: C
Kia CEED TOURER 1.6 PHEV eDrive,Clasificación: A
Kia CEED TOURER 1.6 PHEV eMotion,Clasificación: A
Kia CEED TOURER 1.6 PHEV Emotion (Pack Premium),Clasificación: A
Kia CEED TOURER 1.6 PHEV eTech,Clasificación: A
Kia CEED TOURER 5p 1.0 120CV Concept Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.0 120CV Drive Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.0 120CV GT-Line Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.0 120CV Tech Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.0 MHEV 120CV Concept DCT Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.0 MHEV 120CV Drive DCT Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.0 MHEV 120CV GT Line DCT Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.0 MHEV 120CV Tech DCT Eco-Dynamics+,Clasificación: A
Kia CEED TOURER 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.5 MHEV 160CV GT Line DCT Eco-Dynamics+ (Pack Premium),Clasificación: B
Kia CEED TOURER 5p 1.5 MHEV 160CV Tech DCT Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.6 CRDI MHEV 136CV Business Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.6 CRDI MHEV 136CV Concept Eco-Dynamics+,Clasificación: B
Kia CEED TOURER 5p 1.6 CRDI MHEV 136CV DCT GT-Line Eco-Dynamics+,Clasificación: C
Kia CEED TOURER 5p 1.6 CRDI MHEV 136CV DCT Tech Eco-Dynamics+,Clasificación: C
Kia CEED TOURER 5p 1.6 CRDI MHEV 136CV Drive Eco-Dynamics+,Clasificación: B
