Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
Ford Mustang Mach-E (05.2022) SUV Eléctrico - 75,7Kwh Aut. RWD Rango Estándar;Eléctricos puros;M1;5;2555;198;17.2;75.7;440
Ford Mustang Mach-E (05.2022) SUV Eléctrico - 98,8Kwh Aut. AWD Rango Extendido;Eléctricos puros;M1;5;2690;258;18.7;98.7;540
Ford Mustang Mach-E (05.2022) SUV Eléctrico - 98,8Kwh Aut. RWD Rango Extendido;Eléctricos puros;M1;5;2605;216;16.5;98.7;610
Ford Mustang Mach-E (05.2022) SUV Eléctrico Aut. GT Rango Extendido;Eléctricos puros;M1;5;2605;358;20;98.7;500
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 70 kWh Aut. Premium AWD Rango Estándar;Eléctricos puros;M1;5;2690;198;19.5;75.7;400
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 70 kWh Aut. RWD Rango Estándar;Eléctricos puros;M1;5;2690;198;17.2;75.7;440
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 72,6 kWh Aut. RWD Rango Estándar;Eléctricos puros;M1;5;2690;198;17.8;75.7;470
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 91 kWh Aut. GT Rango Extendido;Eléctricos puros;M1;5;2690;358;21.2;98.7;490
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 91 kWh Aut. Premium AWD Rango Extendido;Eléctricos puros;M1;5;2690;258;18.8;98.7;550
Ford Mustang Mach-E (11.2023) SUV Eléctrico - 91 kWh Aut. Premium RWD Rango Extendido;Eléctricos puros;M1;5;2690;216;17.3;98.7;600
Ford Nuevo Kuga (03.2023) SUV 2.5 Duratec PHEV 225CV Aut. ST-Line/ST-LineX/Vignale;Híbridos enchufables;M1;5;2320;80.6;14.8;14;64
Ford Nuevo Kuga (05.2021) SUV 2.5 Duratec PHEV 225CV Aut. Titanium/ST-Line/ST-Line X/Vignale;Híbridos enchufables;M1;5;2320;80.6;21.7;14.4;56
Ford Nuevo Kuga (05.2022) SUV 2.5 Duratec PHEV 225CV Aut. Titanium/ST-Line/ST-Line X/Vignale;Híbridos enchufables;M1;5;2320;80.6;14.8;14;64
Ford Tourneo Custom (05.2022) Tourneo batalla corta 1.0 EcoBoost PHEV 125CV Aut. Titanium;Híbridos enchufables;M1;9;3400;92.9;20.4;13.6;40
Ford Transit Custom (05.2022) FT 340 Batalla corta Van 1.0 EcoBoost Plug-in Hybrid 125CV Aut. Trend/Limited/Titanium;Híbridos enchufables;N1;3;3400;92.9;19.8;13.6;41
Ford Transit Custom (05.2022) Kombi batalla corta 1.0 EcoBoost PHEV 125CV Aut. Trend;Híbridos enchufables;M1;9;3400;92.9;20.2;13.6;41
FRISON Rider-X 1;Eléctricos puros;L3e;2;352;6.8;6.1;7.56;174
FULU A01 ;Eléctricos puros;L7e;2;895;7.5;10.9;9.2;110
GoldenLion EV3000 ;Eléctricos puros;L3e;2;247;300;2;30;75
GoldenLion JS2A 1;Eléctricos puros;L3e;2;253;4;35;40;75
Goupil G2 litio 5.2 CAJA DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 CAJA SATELITE;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 CAJA SATELITE DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 CAJA VOLQUETE BICOMPARTIMENTADA;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 CHASIS-CABINA;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 FURGON;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 HP DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 MIXTO HP+CAJA;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 PB;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 PF;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 5.2 PUNTO LIMPIO MÓVIL DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;5.2;61
Goupil G2 litio 8.6 CAJA DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 CAJA SATELITE;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 CAJA SATELITE DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 CAJA VOLQUETE BICOMPARTIMENTADA;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 CHASIS-CABINA;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 FURGON;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 HP DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 MIXTO HP+CAJA;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 PB;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 PF;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 litio 8.6 PUNTO LIMPIO MÓVIL DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;14.5;8.6;100
Goupil G2 plomo CAJA DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo CAJA SATELITE;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo CAJA SATELITE DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo CAJA VOLQUETE BICOMPARTIMENTADA;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo CHASIS-CABINA;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo FURGON;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo HP DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo MIXTO HP+CAJA;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo PB;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo PF;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G2 plomo PUNTO LIMPIO MÓVIL DESMONTABLE;Eléctricos puros;L7e;2;1100;5.1;21;5.8;45
Goupil G4 Litio 14 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;13.7;14;89
Goupil G4 Litio 14 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;13.7;14;89
Goupil G4 Litio 14 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e PB;Eléctricos puros;L7e;2;2100;16.5;13.3;14;89
Goupil G4 Litio 14 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 L7e PF;Eléctricos puros;L7e;2;2100;16.5;13;14;89
Goupil G4 Litio 14 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;13.7;14;89
Goupil G4 Litio 14 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;13.7;14;89
Goupil G4 Litio 14 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 PB;Eléctricos puros;N1;2;2100;16.5;13.3;14;89
Goupil G4 Litio 14 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;11.4;14;89
Goupil G4 Litio 14 N1 PF;Eléctricos puros;N1;2;2100;16.5;13;14;89
Goupil G4 Litio 21 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;14.6;21;174
Goupil G4 Litio 21 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;14.6;21;174
Goupil G4 Litio 21 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;14.4;21;176
Goupil G4 Litio 21 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 L7e PB;Eléctricos puros;L7e;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 L7e PF;Eléctricos puros;L7e;2;2100;16.5;13.9;21;182
Goupil G4 Litio 21 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;14.6;21;174
Goupil G4 Litio 21 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;14.6;21;174
Goupil G4 Litio 21 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;14.4;21;176
Goupil G4 Litio 21 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;14.1;21;180
Goupil G4 Litio 21 N1 PB;Eléctricos puros;N1;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;14.2;21;179
Goupil G4 Litio 21 N1 PF;Eléctricos puros;N1;2;2100;16.5;13.9;21;182
Goupil G4 Litio 9 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;12.9;9;92
Goupil G4 Litio 9 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;12.9;9;92
Goupil G4 Litio 9 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;12.2;9;92
Goupil G4 Litio 9 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e PB;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 L7e PF;Eléctricos puros;L7e;2;2100;16.5;12.3;9;92
Goupil G4 Litio 9 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;12.9;9;92
Goupil G4 Litio 9 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;12.9;9;92
Goupil G4 Litio 9 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;12.2;9;92
Goupil G4 Litio 9 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 PB;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;12.5;9;92
Goupil G4 Litio 9 N1 PF;Eléctricos puros;N1;2;2100;16.5;12.3;9;92
Goupil G4 Litio Goupil G4 Litio CAJA SATÉLITE;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio FURGON;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio FURGON;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO FURGON;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO FURGON;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + ASPIR,;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + ASPIR,;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PB;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PB;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PB + HP 500;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PB + HP 500;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PF;Eléctricos puros;L7e;2;2100;17;13.3;12;119
Goupil G4 Litio Goupil G4 Litio PF;Eléctricos puros;N1;2;2100;17;13.3;12;119
Goupil G4 plomo 11,5 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;17.8;11.5;70
Goupil G4 plomo 11,5 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;17.8;11.5;70
Goupil G4 plomo 11,5 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;16.8;11.5;75
Goupil G4 plomo 11,5 L7e PB;Eléctricos puros;L7e;2;2100;16.5;17.3;11.5;72
Goupil G4 plomo 11,5 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;17.3;11.5;73
Goupil G4 plomo 11,5 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;17.3;11.5;73
Goupil G4 plomo 11,5 L7e PF;Eléctricos puros;L7e;2;2100;16.5;16.9;11.5;74
Goupil G4 plomo 11,5 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;17.8;11.5;70
Goupil G4 plomo 11,5 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;17.8;11.5;70
Goupil G4 plomo 11,5 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;17.2;11.5;73
Goupil G4 plomo 11,5 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;16.8;11.5;75
Goupil G4 plomo 11,5 N1 PB;Eléctricos puros;N1;2;2100;16.5;17.3;11.5;72
Goupil G4 plomo 11,5 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;17.3;11.5;73
Goupil G4 plomo 11,5 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;17.3;11.5;73
Goupil G4 plomo 11,5 N1 PF;Eléctricos puros;N1;2;2100;16.5;16.9;11.5;74
Goupil G4 plomo 15,4 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;22.6;15.4;80
Goupil G4 plomo 15,4 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;22.6;15.4;80
Goupil G4 plomo 15,4 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;21.6;15.4;85
Goupil G4 plomo 15,4 L7e PB;Eléctricos puros;L7e;2;2100;16.5;22.1;15.4;83
Goupil G4 plomo 15,4 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 L7e PF;Eléctricos puros;L7e;2;2100;16.5;21.7;15.4;84
Goupil G4 plomo 15,4 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;22.6;15.4;80
Goupil G4 plomo 15,4 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;22.6;15.4;80
Goupil G4 plomo 15,4 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;21.6;15.4;85
Goupil G4 plomo 15,4 N1 PB;Eléctricos puros;N1;2;2100;16.5;22.1;15.4;83
Goupil G4 plomo 15,4 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;22;15.4;83
Goupil G4 plomo 15,4 N1 PF;Eléctricos puros;N1;2;2100;16.5;21.7;15.4;84
Goupil G4 plomo 8,6 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;17.1;8.6;54
Goupil G4 plomo 8,6 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;17.1;8.6;54
Goupil G4 plomo 8,6 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 L7e MIXTO PB + ASPIR.;Eléctricos puros;L7e;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 L7e MIXTO PB + COFRE;Eléctricos puros;L7e;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 L7e MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 L7e MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 L7e MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;16.5;16.2;8.6;57
Goupil G4 plomo 8,6 L7e PB;Eléctricos puros;L7e;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 L7e PB + HP 500;Eléctricos puros;L7e;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 L7e PB + riego;Eléctricos puros;L7e;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 L7e PF;Eléctricos puros;L7e;2;2100;16.5;16.3;8.6;57
Goupil G4 plomo 8,6 N1 CAJA SATÉLITE;Eléctricos puros;N1;2;2100;16.5;17.1;8.6;54
Goupil G4 plomo 8,6 N1 FURGÓN;Eléctricos puros;N1;2;2100;16.5;17.1;8.6;54
Goupil G4 plomo 8,6 N1 MIXTO FURGON;Eléctricos puros;N1;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 N1 MIXTO PB + ASPIR.;Eléctricos puros;N1;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 N1 MIXTO PB + COFRE;Eléctricos puros;N1;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 N1 MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 N1 MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;16.5;16.5;8.6;56
Goupil G4 plomo 8,6 N1 MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;16.5;16.2;8.6;57
Goupil G4 plomo 8,6 N1 PB;Eléctricos puros;N1;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 N1 PB + HP 500;Eléctricos puros;N1;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 N1 PB + riego;Eléctricos puros;N1;2;2100;16.5;16.6;8.6;56
Goupil G4 plomo 8,6 N1 PF;Eléctricos puros;N1;2;2100;16.5;16.3;8.6;57
Goupil G4 plomo Goupil G4 plomo CAJA SATÉLITE;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo FURGON;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo FURGON;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO FURGON;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO FURGON;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + ASPIR,;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + ASPIR,;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + GRUA;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + GRUA;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + HP 200;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PB + HP 200;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PF + HP 200;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo MIXTO PF + HP 200;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PB;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PB;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PB + HP 500;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PB + HP 500;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PF;Eléctricos puros;N1;2;2100;17;24.8;15;81
Goupil G4 plomo Goupil G4 plomo PF;Eléctricos puros;L7e;2;2100;17;24.8;15;81
Goupil G4-L Litio 14 L7e CAJA SATÉLITE;Eléctricos puros;L7e;2;2100;16.5;13.7;14;89
Goupil G4-L Litio 14 L7e FURGÓN;Eléctricos puros;L7e;2;2100;16.5;13.7;14;89
Goupil G4-L Litio 14 L7e MIXTO FURGON;Eléctricos puros;L7e;2;2100;16.5;11.4;14;89
